Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. Rebel Whacker,B,5,3,31.4,300,2025-07-26,TARE,M,18.33,17.48,17.47,6.75,12.25,Simplicity Magic,345,81.0,Saturday,July,TARE
1. Rebel Whacker,B,7,7,31.1,300,2025-07-02,TARE,M,18.58,17.28,17.16,6.76,18.5,Miss Beaujolais,677,71.0,Wednesday,July,TARE
1. Rebel Whacker,B,7,4,31.3,300,2025-06-28,TARE,M,18.57,17.82,17.33,6.78,10.5,Rough Passage,457,81.0,Saturday,June,TARE
1. Rebel Whacker,B,5,3,31.1,300,2025-06-18,TARE,M,18.76,17.86,17.33,6.95,12.75,Al Can Do,655,71.0,Wednesday,June,TARE
1. Rebel Whacker,B,6,9,30.6,272,2025-06-11,GRDN,M,16.73,16.17,15.66,4.72,8.0,Sketchy Stories,866,41.0,Wednesday,June,GRDN
3. Crikey Eddie,D,5,5,35.8,400,2025-03-14,GRDN,M,24.12,23.01,22.72,11.63,15.75,Canya Talking,745,41.0,Friday,March,GRDN
3. Crikey Eddie,D,7,8,36.1,400,2025-02-08,GRDN,M,23.98,23.07,22.75,11.78,13.0,Beltone Boy,77,9.0,Saturday,February,GRDN
3. Crikey Eddie,D,6,5,36.5,400,2025-01-29,GRDN,M,23.87,23.26,22.79,11.78,8.75,Coco Bella,766,11.0,Wednesday,January,GRDN
4. Blocker Perry,D,5,7,37.2,300,2025-07-23,TARE,M,18.13,17.6,17.31,6.74,7.5,Inner West,655,19.0,Wednesday,July,TARE
5. Krypto Rock,D,7,5,29.6,431,2025-07-16,GUNN,M,26.18,24.93,24.7,11.71,17.75,Lily Bloom,4377,34.0,Wednesday,July,GUNN
5. Krypto Rock,D,2,3,30.0,336,2025-07-12,MUSW,M,19.84,19.38,19.38,11.71,6.5,Suits And Boots,2222,3.6,Saturday,July,MUSW
5. Krypto Rock,D,5,6,29.6,388,2025-07-08,GOSF,M,23.33,22.43,22.04,10.61,12.75,Blazing Blue Ice,4245,71.0,Tuesday,July,GOSF
5. Krypto Rock,D,2,8,29.4,300,2025-07-05,TARE,M,17.91,17.87,17.52,6.64,0.75,Kicker Mini,312,2.7,Saturday,July,TARE
5. Krypto Rock,D,6,6,29.1,300,2025-07-02,TARE,M,18.3,17.61,17.16,6.8,9.75,Almighty Wrath,566,21.0,Wednesday,July,TARE
6. Gary Indiana,D,5,5,32.7,300,2025-07-23,TARE,M,17.94,17.57,17.31,6.7,5.25,Jet Fuel,665,19.0,Wednesday,July,TARE
7. Jean's Rum,B,7,7,27.2,300,2025-07-23,TARE,M,18.46,17.43,17.31,6.72,14.5,Smilin' Ethics,547,9.5,Wednesday,July,TARE
7. Jean's Rum,B,2,3,27.9,300,2025-07-02,TARE,M,17.8,17.61,17.16,6.52,2.5,Almighty Wrath,212,6.0,Wednesday,July,TARE
7. Jean's Rum,B,5,4,28.3,336,2025-05-17,MUSW,M,20.2,19.48,19.15,6.52,10.25,Tommie's Bride,5,7.5,Saturday,May,MUSW
7. Jean's Rum,B,3,8,27.9,336,2025-05-10,MUSW,M,20.08,19.75,19.19,6.52,4.75,Whiskey Red,3133,4.4,Saturday,May,MUSW
7. Jean's Rum,B,8,1,28.1,388,2025-04-22,GOSF,M,23.73,22.29,21.87,10.6,20.5,Canya Not,88,8.0,Tuesday,April,GOSF
8. Unique Whacker,D,8,5,32.5,300,2025-06-28,TARE,M,18.64,17.82,17.33,6.84,11.75,Rough Passage,778,81.0,Saturday,June,TARE
8. Unique Whacker,D,6,2,32.4,300,2025-06-18,TARE,M,18.82,17.86,17.33,7.01,13.75,Al Can Do,866,71.0,Wednesday,June,TARE
8. Unique Whacker,D,6,2,31.5,272,2025-05-17,GRDN,M,16.85,15.73,15.69,4.73,16.0,Kasey's Way,56,61.0,Saturday,May,GRDN
8. Unique Whacker,D,7,1,31.9,300,2025-04-26,TARE,M,18.63,17.55,17.29,6.87,15.5,Pearl Shiraz,887,101.0,Saturday,April,TARE
8. Unique Whacker,D,8,3,32.2,300,2025-04-19,TARE,M,18.9,17.6,17.38,6.92,18.5,She's Elaborate,888,61.0,Saturday,April,TARE
9. In The Chapple,B,8,3,25.1,400,2025-03-17,MAIT,M,24.76,22.76,22.41,5.8,28.5,Sir Tick,8888,71.0,Monday,March,MAIT
9. In The Chapple,B,7,3,24.6,515,2025-02-15,GRDN,M,32.73,29.32,29.22,5.44,48.75,Zipping Dekkers,7777,51.0,Saturday,February,GRDN
10. Impress Bev,B,3,9,31.2,300,2025-08-02,TARE,M,18.38,18.06,17.77,6.78,4.5,Cyclone Sebas,843,17.0,Saturday,August,TARE
10. Impress Bev,B,4,1,31.2,300,2025-07-26,TARE,M,18.18,17.57,17.47,6.76,8.75,Witch Rolex,444,16.0,Saturday,July,TARE
10. Impress Bev,B,7,5,30.9,300,2025-07-23,TARE,M,18.86,17.49,17.31,6.95,19.5,Malicious,767,61.0,Wednesday,July,TARE
10. Impress Bev,B,7,8,31.3,300,2025-06-21,TARE,M,19.15,17.76,17.37,6.83,19.75,Elle Nismo,347,8.0,Saturday,June,TARE
